"sid","id","version","name","singer","lyricist","composer","album","bgd","video"
"128","128","1.0","特雷西亚的远行","银临,萧忆情Alex","予词","灰原穷","游戏OST","0","1"
"129","129","1.0","苦竹林","银临,涵昱","口袋易百","涵昱","单曲集","0","0"
"130","130","1.0","谢却荼蘼","银临,慕寒","陆菱纱","Acid","游戏OST","0","0"
"131","131","1.0","飞行安全颂","银临,双笙","景她","纱朵","单曲集","0","1"
"132","132","1.0","且邀江山共白首","银临","贰哲","灰原穷","单曲集","0","1"
"133","133","1.0","云梦谣","银临,慕寒","未见钗头凤","灰原穷,1AN孙毅然","游戏OST","0","1"
"134","134","1.0","大美江湖","银临","陆菱纱","银临,灰原穷,冲儿","游戏OST","0","1"
"135","135","1.0","知了的歌","银临,徐梦圆","成方言","徐梦圆","单曲集","0","0"
"136","136","1.0","怀梦之泽","银临,泠鸢yousa","冉语优","灰原穷,向往","影视剧OST","0","1"
"137","137","1.0","梅深不见冬","银临","陆衣","莲琊","游戏OST","0","1"
"138","138","1.0","一杯月","银临,陈致逸","镜千","陈致逸","单曲集","0","1"
"139","139","1.0","妙笔浮生","银临","未见钗头凤","黄诗扶","游戏OST","0","1"
"140","140","1.0","闻妖","银临","郭好为","郭好为","游戏OST","0","1"
"141","141","1.0","问琴","银临","孙玉镜","孙玉镜,冯硕","影视剧OST","0","1"
"142","142","1.0","惊鸿","银临","曹植","周俊成","游戏OST","0","1"
"143","143","1.0","鼎立山河","银临","骆栖淮","炎羽瑾","游戏OST","0","1"
"144","144","1.0","神木有灵","银临","为了狮子头,米卡兽","1AN孙毅然","游戏OST","0","1"
"145","145","1.0","手绘的美好","银临","天乐,李跃","吴姝霆","影视剧OST","0","1"
"146","146","1.0","杏花微雨时","银临","慕清明","浅紫","影视剧OST","0","0"
"147","147","1.0","迷画","银临","小舟こぶね","果子Hugo","单曲集","0","0"
"148","148","1.0","九愿","银临","黄星","赵丹","影视剧OST","0","0"
"149","149","1.0","一梦情深","银临,妖扬","清彦","苏晴","影视剧OST","0","1"
"150","150","1.0","柳仙儿","银临","ediq","ediq","单曲集","0","1"
"151","151","1.0","无念","银临","窦崛","孙玉镜,翁腾","影视剧OST","0","1"
"152","152","1.0","数红","银临","段思思","谭旋","影视剧OST","0","1"
"153","153","1.0","今宵","银临","栗锦","栗锦","影视剧OST","0","1"
"154","154","1.0","画狐","银临","妖尼姑","许十五","单曲集","0","0"
"155","155","1.0","春江无明月","银临","柳不贰","柳不贰","单曲集","0","0"
"156","156","1.0","摸鱼儿半阙·桃花妖","银临","大毛","郭好为","影视剧OST","0","0"
"157","157","1.0","鱼雁说","银临,音频怪物","段思思","唐凯顿","影视剧OST","0","0"
"158","158","1.0","落英","银临","王一程","王一程","影视剧OST","0","1"
"159","159","1.0","我是你的雨","银临","龚淑均","衣睿","影视剧OST","0","0"
"160","160","1.0","春","银临,江辰","江辰","江辰","单曲集","0","0"
"161","161","1.0","洛神赋","银临","曹植","郭好为","影视剧OST","0","1"
"162","162","1.0","秋水无恙","银临,五色石南叶","锦衣小盆友","银临","游戏OST","0","1"
"163","163","1.0","月下逢君","银临,音频怪物","锦衣小盆友","灰原穷","游戏OST","0","1"
"164","164","1.0","凡尘与你","银临","周洁颖","胡小鸥","影视剧OST","0","0"
"165","165","1.0","过空门","银临","慕清明","向往","影视剧OST","0","0"
"166","166","1.0","忆千年","银临","张萍","郭好为","影视剧OST","0","1"
"167","167","1.0","初心","银临","林婕妤","USERJOY GAMES","游戏OST","0","1"
"168","168","1.0","种相思","银临","童思杰","三喜","影视剧OST","0","0"
"169","169","1.0","扶摇一梦","银临","慕清明","银临","游戏OST","0","1"
"170","170","1.0","洇雪","银临","上河Lin","灰原穷","游戏OST","0","0"
"171","171","1.0","船儿摇过海","银临,郭逸鸿","冉语优","夏欣怡,九渊,银临,哈时奇","游戏OST","0","0"
"172","172","1.0","七夕·珍馐记","银临","于正","银临","影视剧OST","0","1"
"173","173","1.0","传刀","银临,河图,慕寒,云の泣","颀鞍","litterzy","游戏OST","0","1"
"174","174","1.0","花开自在","银临","叶风","卢中强","单曲集","0","0"
"175","175","1.0","青花","银临","陈信荣,闻人有疾","周传雄","游戏OST","0","1"
"176","176","1.0","春读","银临等...","慕清明等...","Winky诗","单曲集","0","1"
"177","177","1.0","春归","银临","白居易","lbg","山色有无中","0","1"
"178","178","1.0","青城山下白素贞","银临","贡敏","左宏元","影视剧OST","0","1"
"179","179","1.0","江山行歌","银临等...","慕清明","陈致逸,张燕峰","单曲集","0","1"
"180","180","1.0","请君入梦","银临等...","冉语优","马凯,喵草鞋","游戏OST","0","1"
"181","181","1.0","离家最近的路","银临等...","唐映枫","陈鸿宇","单曲集","0","1"
"182","182","1.0","不夜侯","银临等...","陆菱纱","潮汐tide","游戏OST","0","1"
"183","183","1.0","生而为匠","银临等...","迟意,南岐,付遮书","黄诗扶","单曲集","0","1"
"184","184","1.0","最美的相逢","银临,小时姑娘, 贰婶,李常超","骆栖淮","田汨","游戏OST","0","1"
"185","185","1.0","以梦为裳","银临等...","小豆蔻儿","银临","单曲集","0","1"
"186","186","1.0","风月本是故人心","银临等...","邪叫教主","Winky诗","游戏OST","0","1"
"187","187","1.0","双契辞","银临,龟娘","荀夜羽","银临","单曲集","0","0"
"188","188","1.0","菩萨蛮","银临","朱敦儒","银临","游戏OST","0","0"
"189","189","1.0","谢谢陌生的你","银临等...","千月兔","温岚","单曲集","0","1"
"190","190","1.0","可期","银临,殷漢","冉语优","殷漢","单曲集","0","0"
"191","191","1.0","宝贝，回家","银临等...","为了狮子头","桂震宇","单曲集","0","1"
"192","192","1.0","大唐西游历险记","银临,灰原穷","银临,灰原穷","灰原穷","单曲集","0","0"
"193","193","1.0","玉剑掀澜","银临,云の泣, 林清弄","骆栖淮","陈鹏杰","游戏OST","0","1"
"194","194","1.0","玉剑风流","银临,HITA,小魂,林清弄,陈鹏杰","为了狮子头","陈鹏杰","游戏OST","0","1"
"195","195","1.0","牵绊","银临","兰钰烨","曾志豪","游戏OST","0","1"
"196","196","1.0","盛世","银临等...","EDIQ","魅子","单曲集","0","1"
"197","197","1.0","红豆词","银临","曹雪芹","银临","影视剧OST","0","0"
"198","198","1.0","离殇","银临","龚乐","龚乐","单曲集","0","0"
"199","199","1.0","寻仙歌","银临,萧忆情Alex","未见钗头凤","灰原穷,向往","游戏OST","0","0"
"200","200","1.0","一人一花","银临","阿朵","彭均","单曲集","0","0"
"201","201","1.0","傀","银临","许世昌,向桂燕,方羌羌","欧中建","单曲集","0","1"
"202","202","1.0","往事一杯酒","银临等...","锦衣小盆友","冲儿","单曲集","0","1"
"203","203","1.0","次元传说","银临等...","冥凰","田博","单曲集","0","1"
"204","204","1.0","少年中国","银临等...","择荇","李建衡","单曲集","0","1"
"205","205","1.0","不负时光","银临等...","为了狮子头,冥凰","李建衡","单曲集","0","1"
"206","206","1.0","茉莉花","银临,黄诗扶","屈大均,德日,何仿","何仿,黄诗扶","单曲集","0","1"
"207","207","1.0","冠世一战","银临等...","墨大筝","litterzy","单曲集","0","1"
"208","208","1.0","醉","银临","温莨","徐梦圆","单曲集","0","1"
"209","209","1.0","不挂科DJ版","银临,弹跳的大球","云音乐网友","弹跳的大球","单曲集","0","0"
"210","210","1.0","狐言","银临,排骨教主","予词","银临","游戏OST","0","0"
"211","211","1.0","百鬼阴阳抄","银临.Aki阿杰","St_色太","乌龟Sui","游戏OST","0","1"
"212","212","1.0","Don't Don't","银临","Vagary","小龙龙","单曲集","0","1"
"213","213","1.0","解红尘","银临等...","慕清明等...","IRiS七叶","单曲集","0","1"
"214","214","1.0","红尘夜歌","Ryuuku綠空,银临,依穆炎","哆啦漠","李子恒","单曲集","0","1"
"215","215","1.0","盛唐夜唱","银临,KBShinya","EDIQ","五色妖姬,离魂","单曲集","0","1"
"216","216","1.0","提剑来邀红尘客","银临等...","南岐等...","桜音","影视剧OST","0","1"
"217","217","1.0","不屑言败","银临等...","千月兔","島谷ひとみ","单曲集","0","0"
"218","218","1.0","草莓气泡","银临","冰镇甜豆浆","天钦","单曲集","0","1"
"219","219","1.0","夕山谣","银临","琉璃菌","lbg","单曲集","0","1"
"220","220","1.0","去爱吧","银临,西瓜Kune","吴姝霆","吴姝霆","单曲集","0","1"
"221","221","1.0","时光之河","银临,引月兮","草灯","Cécile Corbel","单曲集","0","0"
"222","222","1.0","江城唱晚","银临","和平","墨香随意","单曲集","0","0"
"223","223","1.0","沉迷","银临","锦衣小盆友","零","单曲集","0","0"
"224","224","1.0","Seven Deadly Sins","银临,灰原穷","凤鸢君","小波shampoo,灰原穷","单曲集","0","0"
"225","225","1.0","一抹秋","银临","锦衣小盆友","锦衣小盆友","单曲集","0","0"
"226","226","1.0","中国话","银临","郑楠,施人诚","郑楠","单曲集","0","0"
"227","227","1.0","千里之外","银临","方文山","周杰伦","单曲集","0","0"
"228","228","1.0","小半","银临","涂玲子","陈粒","单曲集","0","0"
"229","229","1.0","白龙马","银临","张黎","肖白","游戏OST","0","1"
"230","230","1.0","归一","银临,丁丁RaJor,人衣大人","冥凰","汤汤","影视剧OST","0","1"
"231","231","1.0","戏游九州","银临,郭雨昂","元和令,付茂华","丁嘉昱,刘兆伦,俞佳乐","单曲集","0","1"
"232","232","1.0","星辰守候","银临","KOKIA,萨顶顶","KOKIA","单曲集","0","1"
"233","233","1.0","丽人行","银临","杜甫","刘彤","单曲集","0","1"
"234","234","1.0","世俗","银临,冰封骑士","锦衣小盆友","Eric Chiryoku","影视剧OST","0","0"
"235","235","1.0","半夏生","银临","邹念慈","邹念慈,申名利","单曲集","0","0"
